abs_delta_rho,aligned_effect,bin,bin_hi,bin_lo,direction,direction_match,full_aligned_effect,pair_id,patch_fraction,recovery_vs_full,transfer_direction
3.828641396489095,0.2755976860410334,4,5.85793315448346,3.828641396489095,a_to_b,1,0.4751433444005373,size-v2-fictional_semantic-p0025-Type_A_dax_rods-vs-Type_C_dax_rods,0.40599872313239704,0.5800306145269489,iso_to_fictional
3.828641396489095,0.28200573168107645,4,5.85793315448346,3.828641396489095,b_to_a,1,0.4238867769633283,size-v2-fictional_semantic-p0025-Type_A_dax_rods-vs-Type_C_dax_rods,0.41543878188254285,0.6652855125638268,iso_to_fictional
4.0943445622221,0.2700942419804382,4,5.85793315448346,3.828641396489095,a_to_b,1,0.5072014831490534,size-v2-fictional_semantic-p0025-Type_A_dax_rods-vs-Type_D_dax_rods,0.391984806705386,0.5325186359935474,iso_to_fictional
4.0943445622221,0.2822603721289805,4,5.85793315448346,3.828641396489095,b_to_a,1,0.4416720187685883,size-v2-fictional_semantic-p0025-Type_A_dax_rods-vs-Type_D_dax_rods,0.4096413777587382,0.6390723435818769,iso_to_fictional
5.135798437050262,0.13120664093898338,4,5.85793315448346,3.828641396489095,a_to_b,1,0.1761161815270329,size-v2-fictional_semantic-p0025-Type_A_dax_rods-vs-Type_E_dax_rods,0.57097494503647,0.7450004866182263,iso_to_fictional
5.135798437050262,0.16313145645689198,4,5.85793315448346,3.828641396489095,b_to_a,1,0.11079175485398496,size-v2-fictional_semantic-p0025-Type_A_dax_rods-vs-Type_E_dax_rods,0.7099028960546979,1.4724151329842796,iso_to_fictional
5.85793315448346,0.2867061884406965,4,5.85793315448346,3.828641396489095,a_to_b,1,0.39735217374343734,size-v2-fictional_semantic-p0025-Type_A_dax_rods-vs-Type_F_dax_rods,0.5749046999868379,0.7215417641726988,iso_to_fictional
5.85793315448346,0.27473690212294954,4,5.85793315448346,3.828641396489095,b_to_a,1,0.3161908753788931,size-v2-fictional_semantic-p0025-Type_A_dax_rods-vs-Type_F_dax_rods,0.5509038264898775,0.8688957320281014,iso_to_fictional
1.6314168191528755,0.34798575743449645,2,2.0794415416798357,1.3862943611198906,a_to_b,1,0.5222041477971386,size-v2-fictional_semantic-p0025-Type_C_dax_rods-vs-Type_B_dax_rods,0.49764021060535607,0.6663787694954866,iso_to_fictional
1.6314168191528755,0.27961462311490437,2,2.0794415416798357,1.3862943611198906,b_to_a,1,0.49145577518452854,size-v2-fictional_semantic-p0025-Type_C_dax_rods-vs-Type_B_dax_rods,0.3998654455317209,0.5689517495443339,iso_to_fictional
1.897119984885881,0.2723029820575067,2,2.0794415416798357,1.3862943611198906,a_to_b,1,0.5249133168317353,size-v2-fictional_semantic-p0025-Type_B_dax_rods-vs-Type_D_dax_rods,0.3837954738230461,0.5187579993227632,iso_to_fictional
1.897119984885881,0.345549300933951,2,2.0794415416798357,1.3862943611198906,b_to_a,1,0.5334612778797359,size-v2-fictional_semantic-p0025-Type_B_dax_rods-vs-Type_D_dax_rods,0.48703196960641604,0.6477495467100276,iso_to_fictional
2.938573859714042,0.1550575614433276,3,3.828641396489095,2.0794415416798357,a_to_b,1,0.21220876782511455,size-v2-fictional_semantic-p0025-Type_B_dax_rods-vs-Type_E_dax_rods,0.6196065338208584,0.7306840477539251,iso_to_fictional
2.938573859714042,0.19975734536615142,3,3.828641396489095,2.0794415416798357,b_to_a,1,0.15877062716805512,size-v2-fictional_semantic-p0025-Type_B_dax_rods-vs-Type_E_dax_rods,0.798225866674774,1.2581505088766374,iso_to_fictional
3.66070857714724,0.31264205901616604,3,3.828641396489095,2.0794415416798357,a_to_b,1,0.42178945147007507,size-v2-fictional_semantic-p0025-Type_B_dax_rods-vs-Type_F_dax_rods,0.6022078431112863,0.7412277806533699,iso_to_fictional
3.66070857714724,0.337366926745176,3,3.828641396489095,2.0794415416798357,b_to_a,1,0.3788728156658461,size-v2-fictional_semantic-p0025-Type_B_dax_rods-vs-Type_F_dax_rods,0.6498326230694078,0.8904490182339263,iso_to_fictional
0.26570316573300556,-0.0044319761496314225,1,1.3862943611198906,0.26570316573300556,a_to_b,0,0.006428281466626329,size-v2-fictional_semantic-p0025-Type_C_dax_rods-vs-Type_D_dax_rods,-0.433298471067288,-0.6894496099215455,iso_to_fictional
0.26570316573300556,-0.0043784295493252134,1,1.3862943611198906,0.26570316573300556,b_to_a,0,0.00218771517157923,size-v2-fictional_semantic-p0025-Type_C_dax_rods-vs-Type_D_dax_rods,-0.42806341129706316,-2.001370930825784,iso_to_fictional
1.3071570405611668,-0.07065519689232658,1,1.3862943611198906,0.26570316573300556,a_to_b,0,-0.2469102914983805,size-v2-fictional_semantic-p0025-Type_E_dax_rods-vs-Type_C_dax_rods,-0.1573541868029773,0.28615735886727917,iso_to_fictional
1.3071570405611668,-0.12998866181620228,1,1.3862943611198906,0.26570316573300556,b_to_a,0,-0.2710309829803421,size-v2-fictional_semantic-p0025-Type_E_dax_rods-vs-Type_C_dax_rods,-0.28949406516928333,0.4796081259301279,iso_to_fictional
